listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
31054940,231973865,True,Midland,"Executive Charm: 3 bedrooms, 2 baths, 2 car garage",2,Entire house,Entire house,4.95,40,18,2.0,3,3.0,6,CANCEL_MODERATE,False,31.99298,-102.13849,31,2,True,0.8,239.0,0.9
40616219,41916063,True,Midland,North Midland 2 bedroom,1,Entire apartment,Entire apartment,,0,7,2.0,2,2.0,4,CANCEL_MODERATE,False,32.05798,-102.0794,30,3,True,1.0,145.0,1.0
30927300,155660794,True,Midland,Charming cozy cottage in historic neighborhood,40,Entire guesthouse,Entire guesthouse,5.0,7,10,0.0,1,1.0,2,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.01232,-102.08978,7,1,False,1.0,190.0,0.9
41339819,41916063,True,Midland,2 bedroom North Midland,1,Entire apartment,Entire apartment,,0,4,2.0,2,2.0,4,CANCEL_FLEXIBLE,False,32.05254,-102.13178,30,3,True,1.0,120.0,1.0
43187420,41916063,True,Midland,Ballpark 1 bedroom,1,Entire apartment,Entire apartment,,0,6,1.0,1,1.0,2,CANCEL_FLEXIBLE,True,31.99145,-102.16079,30,3,True,1.0,75.0,1.0
40138596,41916063,True,Midland,North Midland 3 bedroom,1,Entire apartment,Entire apartment,,0,6,2.0,3,3.0,6,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.05837,-102.08096,30,3,True,1.0,180.0,1.0
30266381,207888136,False,Midland,Beautiful 1 bedroom apartment!1,1,Entire apartment,Entire apartment,3.86,7,8,1.0,1,2.0,1,CANCEL_FLEXIBLE,False,32.00904,-102.08037,1125,1,True,1.0,69.0,1.0
30266066,207888136,False,Midland,Beautiful 1 bedroom apartment7,1,Entire apartment,Entire apartment,4.25,8,8,1.0,1,2.0,1,CANCEL_FLEXIBLE,False,32.00741,-102.08205,1125,1,True,1.0,69.0,1.0
39865028,306982208,False,Midland,~Prime Location+Professionally Cleaned/Disinfected,2,Entire house,Entire house,5.0,4,17,2.0,3,3.0,6,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.99407,-102.14607,21,3,False,0.82,99.0,0.9
42670918,266063094,False,Midland,Free Breakfast. Pool & Hot Tub. King Suite. Near the new Chevron and Oxy campuses!,37,Entire condominium,Entire condominium,,0,17,1.0,1,1.0,2,CANCEL_MODERATE,False,31.99528,-102.16115,14,2,True,1.0,159.0,1.0
42670649,266063094,False,Midland,Free Breakfast. Pool & Hot Tub. Great Location! Near the new Chevron and Oxy campuses,37,Entire condominium,Entire condominium,,0,18,2.0,2,3.0,6,CANCEL_MODERATE,False,31.99317,-102.15997,14,2,True,1.0,229.0,1.0
